,,,4,《貝爾蒙特報告書》可規範何種學術領域的研究人員？,,,,,,,,,,,,,,,,,,
,2,,,《貝爾蒙特報告書》的緣起與何種實驗研究有關？,,,,,,,,,,,,,,,,,,
,,,4,《個資法》第19條第1項規定，非公務機關對個人資料之蒐集或處理，應有特定目的外，並且須符合下列何種情形之一，才可以為之？,,,,,,,,,,,,,,,,,,
,,3,,「抄襲著作」違反《著作權法》的判斷標準，除了須依《著作權法》第44至65條規定之審酌合理使用外，法院還以什麼要件作為衡量依據？,,,,,,,,,,,,,,,,,,
,,3,,「過年快到了，所以要大掃除，這星期天早上媽媽要拖地、爸爸要掃地、姊姊要擦窗戶、哥哥要清蜘蛛絲，而我要洗鍋子。」若將上述內容「摘寫」（summarizing），何者最恰當？,,,,,,,,,,,,,,,,,,
,,,4,A出版社若想再出版已逝世十年之B文學家的著作，依《著作權法》規定，A出版社應該怎麼做最適當？,,,,,,,,,,,,,,,,,,
1,,,,A醫療機構欲對B（具有意識能力之成年人）做人體試驗，卻未明確告知B有關試驗事項，但B已書面同意A對其做人體試驗，A違反何種研究倫理？,,,,,,,,,,,,,,,,,,
,2,,,一位指導教授臨時需要實驗結果的資料，然而負責幫教授執行實驗的研究生小究卻發現，目前仍有三筆數據的結果還未取得。然而，為了可以如期交付實驗結果，他只好在該三筆數據結果的空白欄位中，隨機填上數字，以求暫時對教授有所交代。請問小究的行為，屬於以下何種不當研究行為？,,,,,,,,,,,,,,,,,,
,2,,,下列四種資料中，何者不是《個資法》所規範的對象？,,,,,,,,,,,,,,,,,,
,2,,,下列何者「非」產生自我抄襲之可能原因？ ,,,,,,,,,,,,,,,,,,
,2,,,下列何者不是《貝爾蒙特報告書》所提到之研究過程中必須遵循的基本原則？,,,,,,,,,,,,,,,,,,
,,3,,下列何者不是「摘寫」 (summarizing) 應注意的事項？,,,,,,,,,,,,,,,,,,
,2,,,下列何者不是常見的研究倫理專業規範的主要類型？,,,,,,,,,,,,,,,,,,
,2,,,下列何者不是學術寫作上避免抄襲與剽竊的方法？,,,,,,,,,,,,,,,,,,
1,,3,4,下列何者不屬於需要使用「引述」(quoting)的情況？,,,,,,,,,,,,,,,,,,
,2,,,下列何者不屬於篡改的定義？,,,,,,,,,,,,,,,,,,
,,3,,下列何者非《貝爾蒙特報告書》的三項基本原則,,,,,,,,,,,,,,,,,,
,2,,,下列何者非引述的文字前後使用「引號」或「雙引號」的原因？,,,,,,,,,,,,,,,,,,
1,,,,下列何者為可接受的後製研究圖像方式？,,,,,,,,,,,,,,,,,,
,,,4,下列何者為論文寫作中，適當的引號使用方式？,,,,,,,,,,,,,,,,,,
1,,,,下列何者較不可能出現自我抄襲的狀況？,,,,,,,,,,,,,,,,,,
,,3,,下列何者屬於捏造資料的案例？,,,,,,,,,,,,,,,,,,
,,,4,下列何種行為可能構成學術上的抄襲或剽竊行為，但卻未必違背《著作權法》的相關規定？,,,,,,,,,,,,,,,,,,
1,,,,下列何種行為較不會有「自我抄襲」的疑慮？,,,,,,,,,,,,,,,,,,
1,,,,下列何種情形符合《貝爾蒙特報告書》的「正義」原則？,,,,,,,,,,,,,,,,,,
,2,,,下列對摘寫（summarizing）的寫作技巧，何者有誤？,,,,,,,,,,,,,,,,,,
,,,4,下列關於《貝爾蒙特報告書》（Belmont Report）中提及之受試者保護原則的應用，何者是正確的敘述？,,,,,,,,,,,,,,,,,,
,,3,4,下列關於《貝爾蒙特報告書》所作的配對，何者錯誤？,,,,,,,,,,,,,,,,,,
,,3,,下列關於「不當的作者定義或掛名」之敘述，何者錯誤？,,,,,,,,,,,,,,,,,,
,2,,,下列關於正當引用要件之敘述，何者正確？,,,,,,,,,,,,,,,,,,
,,,4,下列關於自我抄襲的敘述，何者正確？,,,,,,,,,,,,,,,,,,
,,,4,下列關於科學研究之利益衝突的描述，何者有誤？,,,,,,,,,,,,,,,,,,
,,3,,下列關於隱私權的敘述，何者正確？,,,,,,,,,,,,,,,,,,
,2,,,大部分的出版商或是期刊，對於研究圖像的處理，皆訂立有相關的規範。下列何者是較不被允許的圖像處理方式？,,,,,,,,,,,,,,,,,,
